31/авг/2015 17:34:26,249- Run: program ended
31/авг/2015 17:34:54,491- Run: program started
31/авг/2015 17:34:54,607- Run: program ended
31/авг/2015 17:35:02,071- Run: program started
31/авг/2015 17:35:02,234- Run: program ended
31/авг/2015 17:36:27,601- Run: program started
31/авг/2015 17:36:27,688- Run: program ended
31/авг/2015 17:36:57,777- Run: program started
31/авг/2015 17:36:57,884- Run: program ended
31/авг/2015 17:37:12,259- Run: program started
31/авг/2015 17:37:12,358- Run: program ended
31/авг/2015 17:37:17,583- Run: program started
31/авг/2015 17:37:17,670- Run: program ended
31/авг/2015 17:37:26,672- Run: program started
31/авг/2015 17:37:26,879- Run: program ended
31/авг/2015 17:38:02,382- Run: program started
31/авг/2015 17:38:02,480- Run: program ended
31/авг/2015 17:38:15,635- Run: program started
31/авг/2015 17:38:15,787- Run: program ended
31/авг/2015 17:38:28,377- Run: program started
31/авг/2015 17:38:28,566- Run: program ended
